customerID,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,MonthlyChargeBand,TotalCharges,CustomerValue,IsMonthToMonth
7590-VHVEG,Month-to-month,Yes,Electronic check,29.85,Low,29.85,Low Value,Yes
5575-GNVDE,One year,No,Mailed check,56.95,Medium,1889.5,Medium Value,No
3668-QPYBK,Month-to-month,Yes,Mailed check,53.85,Medium,108.15,Low Value,Yes
7795-CFOCW,One year,No,Bank transfer (automatic),42.3,Medium,1840.75,Medium Value,No
9237-HQITU,Month-to-month,Yes,Electronic check,70.7,High,151.65,Low Value,Yes
9305-CDSKC,Month-to-month,Yes,Electronic check,99.65,Very High,820.5,Medium Value,Yes
1452-KIOVK,Month-to-month,Yes,Credit card (automatic),89.1,High,1949.4,Medium Value,Yes
6713-OKOMC,Month-to-month,No,Mailed check,29.75,Low,301.9,Low Value,Yes
7892-POOKP,Month-to-month,Yes,Electronic check,104.8,Very High,3046.05,High Value,Yes
6388-TABGU,One year,No,Bank transfer (automatic),56.15,Medium,3487.95,High Value,No
9763-GRSKD,Month-to-month,Yes,Mailed check,49.95,Medium,587.45,Low Value,Yes
7469-LKBCI,Two year,No,Credit card (automatic),18.95,Low,326.8,Low Value,No
8091-TTVAX,One year,No,Credit card (automatic),100.35,Very High,5681.1,High Value,No
0280-XJGEX,Month-to-month,Yes,Bank transfer (automatic),103.7,Very High,5036.3,High Value,Yes
5129-JLPIS,Month-to-month,Yes,Electronic check,105.5,Very High,2686.05,Medium Value,Yes
3655-SNQYZ,Two year,No,Credit card (automatic),113.25,Very High,7895.15,High Value,No
8191-XWSZG,One year,No,Mailed check,20.65,Low,1022.95,Medium Value,No
9959-WOFKT,Two year,No,Bank transfer (automatic),106.7,Very High,7382.25,High Value,No
4190-MFLUW,Month-to-month,No,Credit card (automatic),55.2,Medium,528.35,Low Value,Yes
4183-MYFRB,Month-to-month,Yes,Electronic check,90.05,Very High,1862.9,Medium Value,Yes
8779-QRDMV,Month-to-month,Yes,Electronic check,39.65,Medium,39.65,Low Value,Yes
1680-VDCWW,One year,No,Bank transfer (automatic),19.8,Low,202.25,Low Value,No
1066-JKSGK,Month-to-month,No,Mailed check,20.15,Low,20.15,Low Value,Yes
3638-WEABW,Two year,Yes,Credit card (automatic),59.9,Medium,3505.1,High Value,No
6322-HRPFA,Month-to-month,No,Credit card (automatic),59.6,Medium,2970.3,High Value,Yes
6865-JZNKO,Month-to-month,Yes,Bank transfer (automatic),55.3,Medium,1530.6,Medium Value,Yes
6467-CHFZW,Month-to-month,Yes,Electronic check,99.35,Very High,4749.15,High Value,Yes
8665-UTDHZ,Month-to-month,No,Electronic check,30.2,Low,30.2,Low Value,Yes
5248-YGIJN,Two year,Yes,Credit card (automatic),90.25,Very High,6369.45,High Value,No
8773-HHUOZ,Month-to-month,Yes,Mailed check,64.7,Medium,1093.1,Medium Value,Yes
3841-NFECX,Two year,Yes,Credit card (automatic),96.35,Very High,6766.95,High Value,No
4929-XIHVW,Month-to-month,Yes,Credit card (automatic),95.5,Very High,181.65,Low Value,Yes
6827-IEAUQ,One year,No,Mailed check,66.15,Medium,1874.45,Medium Value,No
7310-EGVHZ,Month-to-month,No,Bank transfer (automatic),20.2,Low,20.2,Low Value,Yes
3413-BMNZE,Month-to-month,No,Bank transfer (automatic),45.25,Medium,45.25,Low Value,Yes
6234-RAAPL,Two year,No,Bank transfer (automatic),99.9,Very High,7251.7,High Value,No
6047-YHPVI,Month-to-month,Yes,Electronic check,69.7,Medium,316.9,Low Value,Yes
6572-ADKRS,Month-to-month,Yes,Credit card (automatic),74.8,High,3548.3,High Value,Yes
5380-WJKOV,Month-to-month,Yes,Electronic check,106.35,Very High,3549.25,High Value,Yes
8168-UQWWF,Month-to-month,Yes,Bank transfer (automatic),97.85,Very High,1105.4,Medium Value,Yes
8865-TNMNX,One year,No,Mailed check,49.55,Medium,475.7,Low Value,No
9489-DEDVP,Two year,Yes,Credit card (automatic),69.2,Medium,4872.35,High Value,No
9867-JCZSP,One year,No,Mailed check,20.75,Low,418.25,Low Value,No
4671-VJLCL,Two year,Yes,Credit card (automatic),79.85,High,4861.45,High Value,No
4080-IIARD,Month-to-month,Yes,Electronic check,76.2,High,981.45,Medium Value,Yes
3714-NTNFO,Month-to-month,Yes,Electronic check,84.5,High,3906.7,High Value,Yes
5948-UJZLF,Month-to-month,No,Mailed check,49.25,Medium,97,Low Value,Yes
