customerID,Churn,CustomerStatus,ChurnFlag,RetentionPriority
7590-VHVEG,No,Retained,0,Priority 5 - Other Retained
5575-GNVDE,No,Retained,0,Priority 5 - Other Retained
3668-QPYBK,Yes,Churned,1,Priority 3 - Low Value Churned
7795-CFOCW,No,Retained,0,Priority 5 - Other Retained
9237-HQITU,Yes,Churned,1,Priority 3 - Low Value Churned
9305-CDSKC,Yes,Churned,1,Priority 2 - Medium Value Churned
1452-KIOVK,No,Retained,0,Priority 5 - Other Retained
6713-OKOMC,No,Retained,0,Priority 5 - Other Retained
7892-POOKP,Yes,Churned,1,Priority 1 - High Value Churned
6388-TABGU,No,Retained,0,Priority 4 - High Value Retained
9763-GRSKD,No,Retained,0,Priority 5 - Other Retained
7469-LKBCI,No,Retained,0,Priority 5 - Other Retained
8091-TTVAX,No,Retained,0,Priority 4 - High Value Retained
0280-XJGEX,Yes,Churned,1,Priority 1 - High Value Churned
5129-JLPIS,No,Retained,0,Priority 5 - Other Retained
3655-SNQYZ,No,Retained,0,Priority 4 - High Value Retained
8191-XWSZG,No,Retained,0,Priority 5 - Other Retained
9959-WOFKT,No,Retained,0,Priority 4 - High Value Retained
4190-MFLUW,Yes,Churned,1,Priority 3 - Low Value Churned
4183-MYFRB,No,Retained,0,Priority 5 - Other Retained
8779-QRDMV,Yes,Churned,1,Priority 3 - Low Value Churned
1680-VDCWW,No,Retained,0,Priority 5 - Other Retained
1066-JKSGK,Yes,Churned,1,Priority 3 - Low Value Churned
3638-WEABW,No,Retained,0,Priority 4 - High Value Retained
6322-HRPFA,No,Retained,0,Priority 4 - High Value Retained
6865-JZNKO,No,Retained,0,Priority 5 - Other Retained
6467-CHFZW,Yes,Churned,1,Priority 1 - High Value Churned
8665-UTDHZ,Yes,Churned,1,Priority 3 - Low Value Churned
5248-YGIJN,No,Retained,0,Priority 4 - High Value Retained
8773-HHUOZ,Yes,Churned,1,Priority 2 - Medium Value Churned
3841-NFECX,No,Retained,0,Priority 4 - High Value Retained
4929-XIHVW,No,Retained,0,Priority 5 - Other Retained
6827-IEAUQ,No,Retained,0,Priority 5 - Other Retained
7310-EGVHZ,No,Retained,0,Priority 5 - Other Retained
3413-BMNZE,No,Retained,0,Priority 5 - Other Retained
6234-RAAPL,No,Retained,0,Priority 4 - High Value Retained
6047-YHPVI,Yes,Churned,1,Priority 3 - Low Value Churned
6572-ADKRS,No,Retained,0,Priority 4 - High Value Retained
5380-WJKOV,Yes,Churned,1,Priority 1 - High Value Churned
8168-UQWWF,Yes,Churned,1,Priority 2 - Medium Value Churned
8865-TNMNX,No,Retained,0,Priority 5 - Other Retained
9489-DEDVP,No,Retained,0,Priority 4 - High Value Retained
9867-JCZSP,No,Retained,0,Priority 5 - Other Retained
4671-VJLCL,No,Retained,0,Priority 4 - High Value Retained
4080-IIARD,No,Retained,0,Priority 5 - Other Retained
3714-NTNFO,No,Retained,0,Priority 4 - High Value Retained
5948-UJZLF,No,Retained,0,Priority 5 - Other Retained
